STATION_ID,LAT_DEG,LONG_DEG,YEAR_CONSTRUCTION,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE
S98_03672,22.465,90.066,1997.0,STW,13.0,Barisal,Jhalakati,Kathalia,Chenchirampur,U.Chenchirampur,1424347952
S98_03673,22.456,90.066,1991.0,DTW,341.0,Barisal,Jhalakati,Kathalia,Chenchirampur,U.Chenchirampur,1424347952
S98_03674,23.153,90.203,1997.0,DTW,269.0,Dhaka,Madaripur,Madaripur Sadar,Paurashava W01,Tharmuguria,3545457956
S98_03675,23.174,90.291,1997.0,STW,23.0,Dhaka,Madaripur,Madaripur Sadar,Khoajpur,Khoajpur,3545453585
S98_03676,23.174,90.291,1997.0,DTW,256.0,Dhaka,Madaripur,Madaripur Sadar,Khoajpur,Khoajpur,3545453585
S98_03677,23.264,90.227,1996.0,STW,30.0,Dhaka,Madaripur,Madaripur Sadar,Chhilarchar,Chhilarchar,3545411251
S98_03678,23.185,90.248,1995.0,STW,19.0,Dhaka,Madaripur,Madaripur Sadar,Panchkhola,Bahir Chakkatta,3545477088
S98_03679,23.205,90.05,1988.0,STW,61.0,Dhaka,Madaripur,Rajoir,Rajoir,Rajoir,3548095748
S98_03680,23.189,90.09,1994.0,STW,34.0,Dhaka,Madaripur,Rajoir,Bajitpur,Nayakandi,3548028652
S98_03681,23.184,90.055,1993.0,STW,57.0,Dhaka,Madaripur,Rajoir,Amgram,Amgram,3548009010
S98_03682,23.184,90.055,1998.0,DTW,249.0,Dhaka,Madaripur,Rajoir,Amgram,Amgram,3548009010
S98_03683,23.227,90.035,1992.0,STW,29.0,Dhaka,Madaripur,Rajoir,Khalia,Hridaynardi,3548076342
S98_03684,23.239,90.036,1998.0,STW,30.0,Dhaka,Madaripur,Rajoir,Hossainpur,Nagardi,3548038588
S98_03685,23.197,89.986,1996.0,STW,58.0,Dhaka,Madaripur,Rajoir,Kadambari,Kailasur,3548066417
S98_03686,23.219,90.017,1998.0,DTW,246.0,Dhaka,Madaripur,Rajoir,Khalia,Pas. Sarmangal,3548076791
S98_03687,23.138,90.444,1997.0,DTW,272.0,Dhaka,Shariatpur,Damudya,Damudya,Dakshin Damudya,3862511331
S98_03688,23.14,90.459,1997.0,DTW,271.0,Dhaka,Shariatpur,Damudya,Purba Damudya,Bara Naogaon,3862559762
S98_03689,22.587,90.293,1979.0,DTW,303.0,Barisal,Jhalakati,Nalchity,Kusaughai,Manpasha,1427331647
S98_03690,22.598,90.294,1980.0,DTW,276.0,Barisal,Jhalakati,Nalchity,Siddhakati,Abhaynil,1427384006
S98_03691,22.563,90.264,1968.0,DTW,295.0,Barisal,Jhalakati,Nalchity,Subidpur,Majkurni,1427394621
S98_03692,22.637,90.278,1988.0,STW,18.0,Barisal,Jhalakati,Nalchity,Paurashava W01,Baichandi,1427352060
S98_03693,22.643,90.334,1994.0,STW,18.0,Barisal,Jhalakati,Nalchity,Dapdapia,Timirokati,1427310133
S98_03694,23.16,90.14,1997.0,STW,35.0,Dhaka,Madaripur,Madaripur Sadar,Mustafapur,Chaturpara,3545471233
S98_03695,23.179,90.101,1992.0,STW,37.0,Dhaka,Madaripur,Madaripur Sadar,Kendua,Nij Bajitpur,3545447705
S98_03696,23.223,90.159,1992.0,STW,39.0,Dhaka,Madaripur,Madaripur Sadar,Dudkhali,Chandibardi,3545423182
S98_03697,23.164,90.172,1994.0,STW,34.0,Dhaka,Madaripur,Madaripur Sadar,Paurashava W04,Hhagdi,3545457420
S98_03698,23.081,90.302,1973.0,STW,37.0,Dhaka,Madaripur,Kalkini,Enayetnagar,Kalai Sadar Char,3544037521
